Bengali,English
।,.
আমি,i am
না,no
তুমি,you
আমার,my
কি,what
এটা,it is
আর,And
তোমার,yours
আছে,there is
সে,he
এই,this
আমরা,we are
করে,by doing
হবে,will be
জন্য,for
আমাদের,our
করতে,to do
একটা,one
আমাকে,me
ঠিক,right
আপনি,you
তো,so
যে,that
তার,his
থেকে,from
কিছু,something
সাথে,with
কিন্তু,but
এখানে,here
তোমাকে,you
এখন,now
কোন,no
কথা,talk
মনে,in mind
কী,what
যদি,if
এবং,And
হয়,is
আপনার,your
নিয়ে,with
ছিল,was
তাকে,him
তারা,they are
নেই,no
হয়ে,become
তাহলে,then
অনেক,a lot
কেন,why
করা,to do
হ্যাঁ,yes
করো,do it
তাই,so
সব,all
এক,one
এর,of
হচ্ছে,being
যাও,go
কাজ,work
হয়েছে,has been
ও,And
কে,who
কাছে,near
শুধু,only
একটি,a
স্যার,sir
দাও,give it
তাদের,their
ভালো,good
যা,which
একজন,one
ভাল,well
জানি,i know
যেতে,to go
দিয়ে,with
খুব,very
কোথায়,where
করবে,will do
যাবে,will go
চাই,want
পারে,can
শেষ,the end
করার,to do
ধন্যবাদ,thank you
যখন,when
বলতে,to say
কেউ,someone
করি,I do
সময়,the time
তুই,you
গেছে,gone
বাবা,father
ওকে,ok
মত,like
সেটা,that
হতে,to be
চলে,move on
ওহ,oh
নয়,not
হ্যা,yes
একটু,a little
পারি,I can
দেখতে,to see
সবাই,everyone
আগে,before
দেখা,see
করছি,doing
তিনি,he
বের,get out
বলে,says
ঐ,that
কর,do
আবার,again
দিতে,to give
নাম,name
যায়,goes
ওর,her
পারবে,can
নাকি,or
কিভাবে,how
মধ্যে,in
তোমরা,you
ফিরে,back
আচ্ছা,ok
সাহায্য,help
আপনাকে,to you
মানুষ,people
তা,that
মা,mother
এ,A
করেছে,did
দিকে,towards
দরকার,need
সেই,that
আসলে,actually
শুরু,start
ওটা,that
দুঃখিত,sorry
দিন,day
চলো,come on
মানে,means
কিন্ত,but
তোর,your
তোমাদের,yours
করছে,doing
বলছি,saying
বিশ্বাস,faith
বন্ধ,off
করেছি,I did
এমন,such
অবশ্যই,of course
নিজের,own
কারণ,because
বড়,big
করবো,will do
বেশি,more
বছর,year
উপর,on
যাচ্ছে,is going
আসো,come on
চেষ্টা,try
তারপর,then
হল,Hall
হয়,is
হেই,hey
এসব,these
দেখো,look
কিছুই,nothing
কোনো,any
এটাই,That's it
আছি,I am
টাকা,money
যাচ্ছি,going
জানো,know
বুঝতে,to understand
আজ,today
ছিলো,was
বলো,tell me
মতো,like
ধরে,by holding
কখনো,ever
খারাপ,bad
কেমন,how
প্লিজ,please
মারা,die
পছন্দ,choice
সেখানে,there
চাও,want
নাও,take
সমস্যা,the problem
দেখে,see
নি,no
পর,after
থাকে,remains
এখনো,yet
সুন্দর,beautiful
তখন,then
ভুল,wrong
ভাই,brother
ওখানে,there
পর্যন্ত,up to
করব,will do
নতুন,new
পরে,after
থাকতে,to stay
ওরা,They are
যাই,let's go
অন্য,other
হলো,done
খুঁজে,to find
ভয়,fear
ব্যাপারে,regarding
ছেড়ে,leave
আরো,more
নিতে,to take
থাকবে,will be
করুন,do
লোক,people
আরে,hey
ফোন,the phone
বন্ধু,friend
হাত,hand
লাগবে,will need
এসো,come on
ওই,that
যেন,as if
সত্যি,true
জীবন,the life
বল,say
চিন্তা,the thought
সম্পর্কে,about
ছেলে,son
এত,so much
যেটা,which
সামনে,in front
জিনিস,thing
খুবই,very
পারবো,i can
এটি,this
হ্যালো,hello
ছিলাম,I was
অপেক্ষা,wait
করবেন,will do
সবকিছু,everything
উচিত,should
ব্যাপার,matter
নিচে,down
থাকো,stay
পারো,you can
নিশ্চিত,sure
হলে,if
এসেছে,has arrived
বা,or
প্রথম,the first
এখান,here
জলদি,soon
কত,how much
জানতে,to know
মেয়ে,girl
আসবে,will come
হও,be
এসে,come
করছ,you do
এরকম,like this
ওদের,their
দুই,two
দেখ,look
তৈরি,made up
জন,John
পারেন,can
ছাড়া,except
হাতে,in hand
সবচেয়ে,the most
হয়তো,maybe
আসছে,is coming
একদম,at all
নাই,no
লাগছে,feeling
যাক,Let's
মেরে,kill
সত্যিই,really
বাইরে,outside
বেশ,quite
আসতে,to come
গুলি,shot
বলা,to say
এটার,its
এসেছি,i came
পড়ে,read
পুরো,the whole
যান,go to
এগুলো,These are
ছোট,small
দিয়েছে,gave
আমিও,me too
সবসময়,always
চল,come on
পেয়েছি,received
মিনিট,minutes
চায়,wants
মজা,fun
আশা,hope
গিয়ে,by going
বলেছে,said
তোকে,to you
যেখানে,where
এবার,now
আরও,More
থামো,stop
পুলিশ,the police
কাউকে,to someone
যাবো,I will go
হোক,Be it
নিজেকে,myself
পারব,I can
যারা,who
শুনতে,to hear
মানুষের,of people
র,R
জায়গা,the place
তাড়াতাড়ি,quickly
কীভাবে,how
বসে,sit down
ফেলে,throw away
দয়া,kindness
জানে,knows
উপরে,above
মাথা,the head
৷,.
বাড়ি,home
মি,Mr
দেখি,let's see
টা,The
খুন,murder
আসে,comes
সঙ্গে,with
মাত্র,only
অথবা,or
আসছি,coming
করলে,If you do
মাঝে,between
দিচ্ছি,giving
আপনাদের,yours
রাতে,at night
গাড়ি,the car
হয়েছিল,was done
চুপ,shut up
ভুলে,forget
দাঁড়াও,stand up
ব্যবহার,usage
আছো,are you
অবস্থা,condition
উচিৎ,should
এখনও,still
মিস,Miss
করেন,do
করছো,do you
যাব,will go
সবাইকে,to everyone
তবে,However
এটাকে,to it
সবার,everyone
পেতে,to get
বাচ্চা,baby
বেঁচে,alive
হিসেবে,as
পারছি,i can
প্রয়োজন,need
একা,alone
যাওয়া,to go
উনি,He is
চেয়ে,than
তাঁর,his
বলেছি,said
এভাবে,like this
পাবে,will get
দেখেছি,saw
দ্রুত,quickly
আয়,income
প্রতি,per
ভিতরে,inside
পাগল,crazy
যাওয়ার,to go
কারন,because
আপনারা,you
দূরে,away
দেয়,gives
যুদ্ধ,war
যার,whose
পাওয়া,found
দিবে,will give
নই,not
জানেন,you know
লাগে,takes
শান্ত,calm down
শুভ,happy
আসল,original
একই,the same
করেছ,you did
খবর,the news
একবার,once
মিঃ,Mr
বাবার,father's
খুশি,happy
বলবে,will say
আগেই,before
পার,Pass
রাখো,keep
গেল,went
চান,want
নিশ্চয়ই,Of course
সুযোগ,chance
কাজে,at work
গিয়েছে,gone
আসলেই,indeed
সম্ভব,is possible
আছেন,are there
হয়নি,did not
বলছে,saying
দেবে,will give
বিয়ে,marriage
যথেষ্ট,enough
দরজা,the door
রেখে,keeping
এখানেই,right here
এমনকি,even
পথ,the way
হওয়ার,to be
কিনা,whether
তিন,three
জানিনা,don't know
চোখ,the eyes
ভেতরে,inside
যাতে,so that
কোথাও,somewhere
প্রশ্ন,question
রাখতে,to keep
উত্তর,the answer
এদিকে,meanwhile
ভাবে,way
জায়গায়,in place
ব্যাপারটা,the thing
প্রস্তুত,ready
আমাদেরকে,to us
you,you
করছেন,doing
দেখছি,I see
চমৎকার,excellent
সোনা,the gold
খাবার,food
বলার,to say
দেয়া,given
হাই,hi
আছ,you are
করেছিলাম,I did
হুম,hmm
রয়েছে,has
দে,give
আহ,ah
ভেবেছিলাম,I thought
করেছেন,did
পানি,the water
গেলে,If you go
বলি,say
জ্যাক,jack
কেবল,only
শুধুমাত্র,only
দেওয়া,to give
দেখুন,see
শব্দ,sound
ক্ষমা,forgiveness
নষ্ট,wasted
হত্যা,murder
একসাথে,together
সম্ভবত,probably
the,the
সহজ,simple
ক্যাপ্টেন,Captain
রাস্তা,road
বলুন,tell me
রে,Ray
বলেছিলাম,I said
প্রায়,almost
আমায়,to me
রক্ষা,protection
বাকি,the rest
দিয়েছি,I gave
কাছ,near
কারো,someone
তুমিই,you are
কঠিন,difficult
কল,call
বস,the boss
গেলো,gone
নাম্বার,No
খোদা,god
রাজা,the king
এতো,so much
ধ্বংস,destruction
কেনো,why
জীবনের,of life
থাকার,stay
hey,hey
সত্য,the truth
কষ্ট,trouble
পিছনে,behind
ধরো,hold on
মন,the mind
শোন,listen
আমিই,it's me
মুখ,face
এখনই,right now
মিথ্যা,lie
চুরি,theft
একে,to one
যেমন,such as
থাক,stay
সেটাই,That's it
ঈশ্বর,god
আঘাত,injury
একমাত্র,the only
কখনোই,never
আসুন,come on
পাচ্ছি,getting
কম,less
থাকা,stay
জানতাম,I knew
কার,who
রাখা,keep
জান,know
দিব,will give
কখনও,ever
হাজার,a thousand
গেছি,went
হ্যারি,harry
আসার,to come
জিজ্ঞেস,ask
করেছো,did you
শক্তি,strength
সিদ্ধান্ত,the decision
খেলা,the game
বেশী,more
সরে,get away
পরিষ্কার,clear
i,i
করলাম,I did
নিরাপদ,safe
খেতে,to eat
ছিলে,you were
দেবো,will give
বাদ,except
বলবো,I will say
ছবি,picture
পেছনে,behind
মহান,great
এতে,In this
পেয়ে,getting
কাজের,work
বললে,said
সকল,all
করেছিল,did
কিসের,of what
দেরি,late
আসা,to come
বিদায়,bye
জানা,to know
তাইনা,not so
বাসায়,at home
থাকলে,If there is
থেকেই,from
হওয়া,to be
অস্ত্র,weapons
শালা,Shala
পারবেন,can
স্বাগতম,welcome
আরেকটা,another one
ওহ্,oh
কারণে,due to
তাদেরকে,them
খুজে,look for
নামে,in the name
খুলে,opened
দাড়াও,stand up
ইচ্ছা,desire
সঠিক,correct
চাচ্ছি,I want
তোমায়,to you
ঘরে,at home
পরিবার,the family
পা,foot
জন্যে,for
মিস্টার,mr
পৃথিবীর,of the world
মাফ,sorry
বলছ,you say
মৃত্যুর,of death
দ্বারা,by
চেক,check
১,1
by,by
নিজে,himself
ই,E
দেই,give
ধরনের,kind of
হারিয়ে,lost
বিশেষ,special
a,a
২,2
আজকে,today
বাড়িতে,at home
কাল,tomorrow
ফিরিয়ে,back
কখন,when
ডাক্তার,the doctor
হয়েছে,has been
বার,times
প্রথমে,First
নিজেই,himself
রক্ত,the blood
ওপর,on
আস্তে,slowly
ছিলেন,was
গল্প,the story
গত,past
মাথায়,in the head
একদিন,one day
দেব,will give
আগের,previous
১০,10
দারুণ,great
হা,Ha
যাচ্ছ,going
উপায়,the way
শুনেছি,heard
স্বপ্ন,the dream
ধরতে,to catch
সময়,the time
দল,team
সকাল,the morning
ভালোই,good
স্ত্রী,the wife
খালি,empty
দু,two
খেয়ে,by eating
বছরের,of the year
লড়াই,fight
বিষয়,subject
অদ্ভুত,strange
ছোট্ট,small
ক্ষমতা,power
করিনি,I didn't
বলব,I will say
পাই,get
পান,drink
গান,song
বলেন,said
গুরুত্বপূর্ণ,important
অংশ,the part
আলাদা,different
উঠে,get up
শোনো,listen
মারতে,to kill
যদিও,Although
মৃত,dead
প্রমাণ,evidence
লাভ,profit
পাশে,beside
বাজে,bad
পথে,on the way
ফেলবে,will drop
কেটে,cut
ধারণা,idea
জন্যই,for
মায়ের,mother's
সাহস,the courage
তুমিও,you too
ধীরে,slowly
শক্তিশালী,strong
পায়,gets
তাঁকে,him
তথ্য,Information
এসেছ,you came
পেরেছি,got it
মুক্ত,free
৩,3
তাকাও,take a look
দিলে,If you give
তাতে,In that
নিজেদের,themselves
দোস্ত,friend
৫,5
এরা,They are
শুনে,hearing
হে,hey
জিজ্ঞাসা,ask
দারুন,great
চালু,on
আনতে,to bring
গোপন,the secret
দোষ,blame
হয়ত,maybe
পরিবর্তন,change
বিরুদ্ধে,against
রাত,the night
অনুভব,feeling
তুলে,pick up
ঠিকই,right
mr.,mr.
গিয়েছিল,went
অন্তত,at least
পেয়েছে,received
পাওয়ার,power
বলেছেন,said
পরীক্ষা,test
হবেনা,won't
চাইলে,if you want
বাচ্চাদের,children
পরিবারের,of family
পারবেনা,can't
যত,as much
অসম্ভব,impossible
বসো,sit down
সেরা,the best
বদলে,instead of
প্রিয়,beloved
এইতো,This is it
করত,used to
ব্যবস্থা,system
মাস,months
মহিলা,woman
কোথায়,where
জীবনে,in life
হতো,would have been
মেয়ের,girl's
তেমন,like that
টাকার,of money
সামান্য,a little
চলছে,in progress
কিছুটা,somewhat
লুকিয়ে,hiding
অসাধারণ,wonderful
মৃত্যু,death
এখনি,now
ধরা,caught
দিনের,of the day
কালো,black
বোকা,stupid
ভেবে,thinking
করেনি,did not
প্রফেসর,the professor
ফেরত,refund
অনুমতি,permission
চিৎকার,scream
সকালে,in the morning
ডলার,dollar
করছিলাম,was doing
সোজা,Straight
খেয়াল,take care
লেগেছে,like
কোনও,any
জীবিত,alive
বন্দুক,the gun
বলছেন,saying
অধিকার,the right
কয়েক,a few
বিক্রি,sale
নিন,take
বললাম,I said
লেখা,writing
দিচ্ছে,giving
পৃথিবী,the world
হলাম,i am
আসি,come on
সাবধানে,be careful
দেখার,to see
রাখবে,will keep
করতাম,I did
বলেছিল,said
বয়স,age
সন্দেহ,doubt
বাহিরে,outside
সময়ে,in time
বলছো,you say
দিও,give
সাধারণ,common
জাহাজ,the ship
থাম,stop
গুলো,the
ঘটনা,event
করেই,by doing
ইয়াহ,Yeah
মজার,funny
ফেলো,throw away
চার,four
প্রয়োজন,need
বলেছ,you said
বলেছিলে,you said
করলো,did
সেকেন্ড,Sec
এইটা,this is
দিলাম,I gave
কাজটা,the work
ভালই,good
চেহারা,appearance
থাকি,stay
তাঁরা,They are
সারা,Sarah
ডঃ,Dr
পেলে,If you get
এইসব,These are
পাবেন,will get
জনাব,Mr
সাবধান,be careful
মাধ্যমে,through
জর্জ,George
পাঁচ,five
মেয়েকে,the girl
চিনি,sugar
ধর,catch up
সপ্তাহ,week
দেখলে,If you see
স্কুলে,at school
চোখে,in the eyes
পারিনি,could not
বাবাকে,to father
পুরনো,old
পরিকল্পনা,the plan
পরের,the next
যাকে,to whom
চেয়েও,than
মার,kill
ভালোবাসি,I love
বোন,sister
বন্ধুরা,friends
মরে,die
হয়েছি,have been
গেলাম,I went
ফেলেছি,dropped
ভেঙ্গে,broken
এগিয়ে,forward
to,to
লোকদের,people
সম্মান,respect
হায়,Alas
কোথাকার,from where
শহর,the city
প্রধান,chief
গিয়েছিলাম,i went
নও,don't
ভালবাসি,love
জি,G
ভাগ্য,fate
হয়েছিলো,was done
চোখের,of the eye
ঝামেলা,trouble
অবস্থায়,in condition
my,my
ঘৃণা,hatred
পালিয়ে,run away
বাস,the bus
মধ্যেই,within
শহরের,of the city
হবার,to be
ভালোবাসা,love
দূর,away
দুটো,two
me,me
ভাগ,share
একেবারে,absolutely
আটকে,stuck
নয়,not
শহরে,in the city
সময়ের,of time
কাছাকাছি,nearby
বুঝেছি,got it
এরপর,After that
দেবতা,god
আদেশ,order
দিবো,will give
বই,book
দেওয়ার,to give
বানিয়ে,by making
থাকবো,will stay
ফেলেছে,left
তোরা,you
এদের,Their
যোগাযোগ,communication
ঘর,house
দেখাতে,to show
আসবো,will come
প্ল্যান,the plan
গরম,hot
হিসাবে,as
মতই,like
ম্যাডাম,madam
পারতাম,I could
দেখাও,show me
অনুসরণ,following
and,and
পারলে,if you can
পরিচিত,known
সমাধান,solution
রুমে,in the room
কই,where
ঘুরে,turn around
রকম,sort of
ঘন্টা,hours
তাঁদের,their
জোরে,loudly
দায়িত্ব,responsibility
দুজন,two
বিরক্ত,bored
রাখ,keep
is,is
t,t
বেরিয়ে,get out
লর্ড,lord
হয়তোবা,maybe
পড়েছে,fell
উনার,His
যেভাবে,how
পরিচয়,identity
of,of
ফেল,fail
খোলা,open
মাস্টার,master
তে,in
জন্ম,the birth
আগুন,the fire
দাঁড়িয়ে,standing up
ছেলের,son's
সম্পর্ক,relationship
রাজি,agreed
করতো,used to
মেনে,obey
নিরাপত্তা,security
মরতে,to die
মাই,My
হত,would have been
নিউ,new
দেয়ার,to give
দিক,direction
রাতের,of the night
শান্তি,the peace
জেনে,knowing
চেয়েছিলাম,I wanted
সমস্ত,all
রেডি,ready
থামাও,stop it
মানুষকে,people
এজেন্ট,the agent
জিনিসটা,the thing
দেখাচ্ছে,showing
বললো,said
সাথেই,immediately
গুড,good
থাকব,will stay
পিটার,peter
বলল,said
ঘটেছে,happened
মিনিটের,of minutes
আস,come on
ঘুম,sleep
চাইনা,don't want
in,in
রুম,the room
দেখেছ,have you seen
translated,Translated
পড়তে,to read
ফেলতে,to drop
ক্ষতি,damage
প্রেসিডেন্ট,the president
ওরে,hey
গাছ,the tree
যাবার,to go
গ্রহণ,accept
বাঁচাতে,to save
রেখো,keep
শক্ত,tough
২০,20
লোকটা,the man
দেখলাম,i saw
কিচ্ছু,something
অামি,i am
নিয়েছে,took
পৃথিবীতে,on earth
এসেছেন,has come
করিয়ে,done
চুক্তি,contract
অর্থ,money
ধুর,the hell
মুখে,in the mouth
শীঘ্রই,soon
লক্ষ্য,aim
যতক্ষণ,As long as
কবে,when
জ্বি,yes
সম্পূর্ণ,complete
করেছিলে,you did
বরং,rather